Username,Handle,Timestamp,Tweet,Replies_Count,Retweet_Count,Likes_Count,,,
Hison,@Hison1216,2023-03-10T03:01:28.000Z,"#jeepneyphaseout #NoToJeepneyPhaseout 
#NoToPUVPhaseout 
#NoToJeepPhaseOut 

Stories....",,,,,,
RT-TCZ,@rt_tcz,2023-03-10T02:00:01.000Z,Cool girl #rttcz #jeepneyphaseout #jeeplovers #jeeplife #jeepwrangler #jeepparts,,,1,,,
DOST PCIEERD,@dostpcieerd,2023-03-09T23:43:51.000Z,"Through electric jeepney and LPG-powered jeepney, DOST-PCIEERD offers alternatives for PUV modernization. Read more at https://pcieerd.dost.gov.ph/news/latest-news/513-dost-touts-e-jeep-lpg-powered-jeeps-for-puj-modernization… 

#pujmodernization #jeepneyphaseout #ejeep #innovation",,,,,,
Levi,@into_yun,2023-03-09T19:29:35.000Z,"Replying to 
@fiiveee_",1,,,,,
Paula Saraza,@PaulaSaraza_,2023-03-09T15:23:11.000Z,"“There might be a tendency, they’ll double the fare”

FilCans share thoughts about the #jeepneyphaseout in  - although in favour of modernizing the traditional PUVs, some say there needs to be a proper consultation with transport groups and commuters/passengers. 
@OMNIFilipino",1,2,2,,,
EverdoneDeal,@EverdoneDeal,2023-03-09T14:46:20.000Z,"#jeepneyphaseout 
#jeepney 
#BBM 
#pasada",,,,,,
Abante Radyo Tabloidista,@abante_radyo,2023-03-08T23:30:00.000Z,"Mga tsuper tamang-duda kay Bautista sa jeepney phaseout
https://tonite.abante.com.ph/2023/03/09/mga-tsuper-tamang-duda-kay-bautista-sa-jeepney-phaseout/…
#TunayNaTabloidista  
#ToniteNews
#jeepneyphaseout",,,,,,
BULGAR,@bulgarofficial,2023-03-08T23:20:20.000Z,"Ano’ng sey mo sa pahayag ni P-BBM na tuloy ang jeepney phaseout at siya ang bahala sa mga tsuper?

#HugotMoShareMo #bulgaronline #isyuatusapin #bulgar #jeepneyphaseout #PUVModernization",,1,1,,,
Wietzell M,@itswitzu,2023-03-08T22:46:56.000Z,"Grabe ung pangyayari sa #jeep pero palaban ang ate nyo 
Traumatic experience riding #jeepney but the author is a #warrior 

https://peakd.com/hive-199493/@artgirl/holdap-sa-jeep-parang-eksena…

#philippines #hiveph #hive #jeepneyphaseout",2,2,7,,,
dirch,@stompnoise,2023-03-08T17:31:09.000Z,Tuwlng may hinaing mga drayber laging ginagawang hostage mga commuter tapos gusto nyo makiisa? #jeepneyphaseout,,,1,,,
śtōrm,@stor_mee,2023-03-08T15:14:48.000Z,"I AGREE with the #jeepneyphaseout but with conditions that benefit the environment, safety of commuters, livelihood of drivers, and traditional imagery of the jeepney.",1,,3,,,
margot_feliz,@margot_dungca,2023-03-08T14:12:59.000Z,#jeep #jeepneyphaseout #TransportStrike,,,2,,,
a,@missdotdae,2023-03-08T13:07:25.000Z,"dapat yung ni-fefeature ng 
@KM_Jessica_Soho
 ay ang kasalukuyang isyu ng mga tsuper tungkol sa #JeepneyPhaseout o kaya ang recent political climate ng Pilipinas, di yung photocards ng mga kpop stans. 

You have a massive reach towards local viewers, u should maximize it properly.",,1,4,,,
Jhen Mayano,@jennifer_mayano,2023-03-08T10:53:10.000Z,No to #jeepneyphaseout,,,,,,
Glenn Sakristan 8262@my2cents.io,Glenn Sakristan 8262@my2cents.io,2023-03-08T09:06:17.000Z,"How’s the PUV transportation going on? Are there jeeps around? 

#philippines #PUVmodernization #jeepneyphaseout #jeepney",,,,,,
`,@ivycxc,2023-03-08T07:23:47.000Z,"hindi kaya ng lahat ng jeepney drivers bayaran ang modernized jeep. ‘di rin nila kaya ng hulug-hulugan since may responsibility rin naman sila sa bahay. i-subsidize sana ng govt mga modern jeeps, hay nako. 

#jeepneyphaseout",,,2,,,
JC,@Jcarlocabaltera,2023-03-08T06:22:53.000Z,Grabe yung prof namin sobrang emotional nya about #jeepneyphaseout anlala kasi naiyak talaga kasi si sir sa nangyayari kasi former jeepney driver kaya no no talaga #NoToJeepneyPhaseout,,1,1,,,
BULGAR,@bulgarofficial,2023-03-08T05:43:15.000Z,"Itataas sa P260,000 ang halaga ng subsidiya na ibibigay ng gobyerno para sa mga tsuper ng pampasaherong sasakyan upang makabili ng e-jeepney bahagi ng Public Utility Vehicle Modernization Program.

#JeepneyModernization #PUVModernization #jeepneyphaseout",,,,,,
BULGAR,@bulgarofficial,2023-03-08T02:34:32.000Z,"Ano’ng sey mo na itinaas sa P260K ang ayuda sa tsuper para makabili ng modern jeep na P1.4M-P3M ang presyo?

#HugotMoShareMo #bulgaronline #isyuatusapin #bulgar #PUVModernization #JeepneyModernization #jeepneyphaseout",,,,,,
BULGAR,@bulgarofficial,2023-03-07T22:45:24.000Z,"JUST IN: Inanunsiyo ng transport group na Manibela ang pagtatapos ng kanilang transport strike nang makipag-usap ang grupo sa Malacañang kahapon, Martes.

#PUVModernization #publictransportation #jeepneyphaseout http://bulgaronline.com",,,,,,
OTEP,@joroquid89,2023-03-07T21:42:44.000Z,Tangina ahahahaha #NoToJeepPhaseOut  #jeepneyphaseout,,,,,,
Pusang Gala,@pusanggala007,2023-03-07T19:15:04.000Z,Mordernization? #jeepneyphaseout #JeepneyModernization  Read here:  https://facebook.com/photo/?fbid=194621783195442&set=a.155919307065690…,,14,56,,,
dicccc,@_kiwi2,2023-03-07T18:05:06.000Z,"im 12 but im 17 yrs pregnant 
#Blessing 
#BongBongPhaseOut
#jeepneyphaseout 
#JeepneyModernization",,,2,,,
rhea go 王清清,@xandz34,2023-03-07T17:13:05.000Z,"#JeepneyStrike has its pros and cons. Hope that both people and the government would listen to each other, weigh out the advantage and disadvantages of the proposals.

#JeepneyModernization YES
But #jeepneyphaseout NO
Maybe, #JeepneywithaTwist is much better than total phase out",,,,,,
dirch,@stompnoise,2023-03-07T15:43:29.000Z,Jeepney ang public transport na basa ka pag umulan at tinamad ang driver mag set up ng trapal #jeepneyphaseout,,,,,,
Van⁷ ✿,@vanessaleuterio,2023-03-07T14:42:12.000Z,Donate instead your money to our jeepney drivers that are suffering to the #jeepneyphaseout #NoToJeepneyPhaseout  https://docs.google.com/document/d/1F12bg5QqZgQRNIE-KEMsLsJ0yl6yJLOE0lQcc6QA32g/mobilebasic…,,,,,,
Event Horizon bitchhh (3am Edition),@IzahFeeling,2023-03-07T12:46:35.000Z,"It would have been a great sight to see, if these same toxic Christians cried during the #JeepneyPhaseOut",,,,,,
mikki,@californiamikki,2023-03-07T11:50:30.000Z,"Replying to 
@mian_gmz",1,,,,,
Kristo,@marcboni,2023-03-07T10:47:02.000Z,China moved from bicycles to Electric Vehicles; Philippines is stuck with heavy diesel jeeps that are unsafe and that cause cancer #jeepneyphaseout,,,,,,
Kristo,@marcboni,2023-03-07T10:46:57.000Z,"Replying to 
@andymancy",,,,,,
Ateneo Human Rights Center,@ahrctweets,2023-03-07T10:26:06.000Z,Nagsasagawa ngayon ng malawakang transport strike ang mga driver at operator ng jeep para ipanawagan ang pagtutol sa #JeepneyPhaseout na bahagi ng PUV Modernization Program ng gobyerno. Anu-ano ba ang mga tunay na dahilan kung bakit tutol sila sa planong ito ng gobyerno? Basahin:,,12,17,,,
Ana,@marshytweets,2023-03-07T09:29:45.000Z,"“Jeepney drivers don’t earn 500 php a day lang, they can earn as much as 6,000 a day”??? How true??#JeepneyModernization #jeepneyphaseout #nalokaakokayaccla ",,,,,,
ria⑰,@jeonghannielife,2023-03-07T06:49:24.000Z,"sumama siya sa #jeepneyphaseout ng pinsan niya, proud of you paps",,,3,,,
8List.ph,@8ListPH,2023-03-07T06:00:00.000Z,Share with us your thoughts about this current issue.  #jeepneyphaseout,,,2,,,
Xavier,@Xaviersilog,2023-03-07T05:23:11.000Z,Jeepney phaseout is a good project. BUT the proposed implementation is not timely and humane. #jeepneyphaseout,,,,,,
Solace,@dreamincarts,2023-03-07T04:40:52.000Z,"I think I made a conclusions;
Joshua Tiongco 
KMJS 
Magnanakaw ng photocards  Gobyerno

Anyways,
NO TO #jeepneyphaseout ",,,5,,,
NOT'IVHAN,@notivhanyess,2023-03-07T04:39:15.000Z,:#NoToPUVPhaseout #jeepneyphaseout,1,,1,,,
Jasnoza,@Jasnoza,2023-03-07T03:48:18.000Z,"TAMA!!!  tama nga sinabi ni VP Sara ""communist-inspired"" #JeepneyModernization #jeepneyphaseout 
CTTO:",,,1,,,
BBM x SARA,@DuterteMarcos_,2023-03-07T03:29:53.000Z,#jeepneyphaseout #jeepneystrike,,,2,,,
Cannapinoy,@cannapinoy,2023-03-07T03:04:55.000Z,"#jeepneyphaseout must be done as soon as possible. These unsafe machines do not deserve to be on the road. Public transportation should be buses and trains, not these death on wheels. Itll be hard for filipinos to move on from jeepneys since it has been there forever.",,,,,,
gisellemae,@gsllmvllrnt,2023-03-07T02:34:30.000Z,i literally cried yesterday ‘bout the #jeepneyphaseout issue. ,,,,,,
K!M,@k_i_mnop,2023-03-07T02:33:01.000Z,"Jeep pala Yun, akala ko bus iniba lang ang mga upuan

#jeepneyphaseout 
#JeepneyModernization",,,,,,
Abante TeleTabloid,@ATeletabloid,2023-03-07T02:15:00.000Z,"Umarangkada rin kahapon ang pa-Libreng Sakay ng LGUs at mga ahensya ng gobyerno upang saklolohan ang commuters ngayong nag-umpisa na ang isang linggo tigil-pasada ng transport groups. 
 
Tutukan: https://bit.ly/3SUKA06
 
#NewsPH #JeepneyPhaseout #PUVModernization #LibrengSakay",,3,3,,,
Abante TeleTabloid,@ATeletabloid,2023-03-07T01:58:18.000Z,"Sinimulan na kahapon ang 1 linggong tigil-pasada ng transport groups na layunin ang suspensyon ng PUV Modernization program ng pamahalaan. 
 
Panoorin ang iba pang balita: https://bit.ly/3SUKA06
 
#AbanteTeletabloid #NewsPH #TigilPasada #JeepneyPhaseout #PUVModernization #LTFRB",,4,2,,,
Corisis Morgia,@morgia_corisis,2023-03-07T01:56:06.000Z,What if yung mga Toxic na katrabaho ang ma Phase Out! #JeepneyModernization #JeepneyModernizationProgram #jeepneyphaseout,,,,,,
JC,@Jcarlocabaltera,2023-03-06T19:40:54.000Z,Andmi kong naririnig at nababasang mga comments about #jeepneyphaseout and lahat misinformed sila and sarili lang iniisip hayst #NoToJeepneyPhaseOut,,,,,,
dirch,@stompnoise,2023-03-06T18:57:27.000Z,"Daming commuter nakikiisa sa mga jeepney drivers, mga driver na wala ngang pakialam kung ma late ka sa pupuntahan mo #jeepneyphaseout",,,,,,
RAM,@ramlatoreno,2023-03-06T18:28:26.000Z,"Masuko sa #jeepneyphaseout pero dili na musakay sa motor na hangad sa Pagadian, kay mas nahan na ug bao2. Paghilom oy.",,,,,,
dirch,@stompnoise,2023-03-06T17:04:18.000Z,The choice is do you want a comfortable public transport or culture? #jeepneyphaseout,,,,,,
Enrique Paulo Lingbanan Delos Santos,@JhongJimboyYu,2023-03-06T16:18:50.000Z,"No Jeepney Phase Out di na kayo naawa mga putang ina ninyo 
#jeepneyphaseout 
#JeepneyModernizationProgram 
#JeepneyModernization",,,1,,,
eyyrizz,@gieofhugiko,2023-03-06T15:04:54.000Z,"I don't know what is the purpose of #jeepneyphaseout. We are in the PHILIPPINES what are you expecting? hahhaha want to make anything hightech or more?? stop being selfish, not e not everyone living in this world is born with silverspoon with their mouths.",1,,,,,
wesley,@ninidelulu,2023-03-06T15:04:42.000Z,Hindi sa pang babash Kay president bongbong Marcos pero madami ang magugutom marami ang mawawalan ng sasakyan mahigirapan ang mga Filipino pag tunuloy yang #jeepneyphaseout nayan marami ang mawawalan ng trabaho nasa position ka ngayon gawin mo ang kailangan mong gawin,,,,,,
river,@ravearaki,2023-03-06T14:58:15.000Z,"habang busy ang lahat sa #jeepneyphaseout, ito pasado na ang chacha.",1,,1,,,
Eden Rutaquio,@EdenRutaquio,2023-03-06T14:57:11.000Z,Not humane! #jeepneyphaseout,,,,,,
JINI,@jinigimenez,2023-03-06T13:38:55.000Z,"Ang ganda ganda ng jeep nating mga pinoy i pe phase out nyo lang? Shame on you. Mga taga ibang bansa nga tuwang tuwa to at tatak pinoy.

Look at our DCX JEEP!  For our company outing Ang ganda

#JeepneyModernizationProgram  #jeeplife #jeepneyphaseout #jeep",1,,,,,
Hoang Nga,@HoaHoangNga,2023-03-06T13:29:12.000Z,Hindi ba kaya ng Tallano gold na I cover yung php2.5 million jeepney modernization? Bekenemen pwedeng libre na para sa mga bumoto sa kanila??? Oh baka naman kailangan mangyari tong modernization para me bagong kickback halaaaa  #jeepneyphaseout #JeepneyModernizationProgram,,,,,,
antonio_una,@tndnl_td,2023-03-06T13:25:45.000Z,"Yun lang, sobrang klaro ng pangalang epal. Di niyo pera yan. #metromanila #transportstrike #strike #JeepneyModernizationProgram #jeepneyphaseout #jeepney",,,,,,
★★★★★,@mauel_ly,2023-03-06T13:19:07.000Z,tas nasasayangan ako na bumyahe siya ako lang pasahero pero ang bait ni kuya kaya kasi sabi niya sige na daw okay lang kahit anong amount okay na swear so far sa mga jeeps na nasakyan ko di ko talaga malilimutan si kuya kay No na no talaga sa #jeepneyphaseout,,,1,,,
Eirine⁷,@RMistica7,2023-03-06T13:17:40.000Z,"Some ya'll r literally dumb asf about the jeepney phase out it was declared a long time ago but none of them tried ni isa walang nag try kahit modernize lang man. Kapag gusto maraming paraan kapag ayaw maraming dahilan.
#jeepneyphaseout",1,,,,,
— ; DARK BLOOD,@hoontxlgia,2023-03-06T13:06:03.000Z,LOL BAKA PANAKIP SA #jeepneyphaseout,,,,,,
Just_Random Thought,@JustInfinity14,2023-03-06T12:41:32.000Z,Ang daming pwedeng maging epekto kapag nawala ang old jeepneys akala ko ba ang gusto nila ay mawala ang kahirapan pero bakit sila pa ang gumagawa ng sanhi ng kahirapan sa ating bansa. #jeepneyphaseout #JeepneyModernizationProgram #TigilPasada,,,,,,
Juvs,@itsgonzalesjuvy,2023-03-06T12:15:28.000Z,"Hindi po ako ""bumoboses lang"" As the youth of this country kaylangan maging boses pa rin tayo sa mga ganitong issues, kung ikaw wala kang pakialam ako meron. Pero sa totoo lang jeep ang isa sa naging tatak ng mga turista sa ating bansa.

#jeepneyphaseout",,,,,,
Juvs,@itsgonzalesjuvy,2023-03-06T12:11:39.000Z,While Im browsing on my social media puro #jeepneyphaseout ang nakikita ko and super sad nung may nakikita akong mga jeepney driver na kita sa mga mata nila yung pagod at lungkot and naiinis ako kase habang nahihirapan ang mga jeepney driver wala man lang ginagawa ang nasa taas.,,,,,,
,@jolyancubero,2023-03-06T12:03:31.000Z,hayz tagaan unta nis gobyerno ug saktong programa ang #jeepneyphaseout oypz :((((((,,,3,,,
zi,@xiziara,2023-03-06T11:59:38.000Z,"Replying to 
@jpgrobredo",,,1,,,
vernotech,@vernotech,2023-03-06T11:45:02.000Z,Ayaw sa #jeepneyphaseout pero nag sisisigaw ng cleaner air sa Metro Manila....tatanga nyo rin eh noh?,,,,,,
BEBI,@c09157,2023-03-06T11:23:41.000Z,ang oa daw ng mga mga sharedpost ko about sa #jeepneyphaseout eh 2 lang yon. isa pa kung di ka affected. wala nakong pake! bboto ka ng tanga tas saken ka galet,,,,,,
"Leo Jay D. Lumaras,RND",@leography_libra,2023-03-06T10:43:12.000Z,No to #jeepneyphaseout,,,2,,,
republicasia,@republicasiadot,2023-03-06T10:29:31.000Z,"protest in parts of Paraaque City and Caloocan City this morning. | #news #newsph #socialnewsph #republicasianews #republicasia  #jeepneyphaseout 

Visit http://republicasiamedia.com for more!

 Ryan Baldemor | republicasia",,,,,,
marquie,@marquiewinner,2023-03-06T09:44:38.000Z,No to #jeepneyphaseout ,,,,,,
a,@rammified__,2023-03-06T09:35:48.000Z,I hope we can set up a #gofundmecampaign  para dun sa manong driver na may sticker ni Leni sa lalagyan ng pera ng jeep nya para matulungan sya makaavail ng bagong jeep #jeepneyphaseout #angatbuhaylahat #LeniKiko2022 #leniliwanagsadilim,,,,,,
lou ⟢,@louthenegatron,2023-03-06T09:32:36.000Z,"Wala naman kase sanang problema sa #JeepneyPhaseout kung pinondohan at pinlano ng maayos ng Gobyerno. Kaso, wala.. sa drivers pa mismo ang gastos na para bang milyon kinikita nila sa pasada. KAURAT!",,,1,,,
KC,@simplykchere,2023-03-06T09:31:36.000Z,"Pinag laban namin kayo nung eleksyon pero pinili nyo pa din ang leader na walang plano sa inyo. 

Sana malagpasan natin lahat ang problema na to. 

#jeepneyphaseout",,,,,,
Lucasito,@bashgita,2023-03-06T08:57:09.000Z,"Dami talagang Pinoy na maraming time sa tsismis like issue ni Liza but wala for issues that directly affect them like #jeepneyphaseout.

We only have a limited time in a day, we only have limited energies. Divert them to valuable issues.",,2,20,,,
MICHY,@mitchdelena,2023-03-06T06:50:55.000Z,No to #jeepneyphaseout,,,,,,
Jonathan Castillo,@tatancast,2023-03-06T06:37:43.000Z,"Magkaiba ang #jeepneyphaseout sa #jeepneymodernization.

Hayan na, pinaghahalo na naman ang balat sa tinalupan. ",,,1,,,
Dann General-Seterra,@ohohdann,2023-03-06T06:13:02.000Z,"No to #JeepneyPhaseOut daw e never ka naman sumakay sa jeep dahil may sasakyan ka! EMEDORA MAKA-RIDE LANG SA ISSUE! Haha!

#YesToBBMSaraPhaseOut pwede pa! Hahaha!",,,1,,,
Nathaniel,@bolus_nathaniel,2023-03-06T06:03:07.000Z,No to phase out #jeepneyphaseout,,,,,,
@pauloinmanila and 99 others,@pauloinmanila and 99 others,2023-03-06T06:02:10.000Z,"So far, tahimik ang Mendiola ngayon, pero maraming pulis.

#NoToJeepneyPhaseOut 
#JeepneyPhaseOut",,,11,,,
republicasia,@republicasiadot,2023-03-06T05:49:14.000Z,"on Jeepney phase out? | #news #newsph #socialnewsph #republicasianews #republicasia #Jeepneyphaseout #Jeepneymodernization 

Visit http://republicasiamedia.com for more!",,,,,,
My Fabelous World,@FabeTony,2023-03-06T05:48:59.000Z,"Kami nga, we think twice whether to buy a new car or not kahit 0% downpayment kasi mabigat nga ang monthly amortization nya, e yung jeepney driver pa kaya na 2 million agad ang isang minibus!  Parang nagtrabaho ka lang para sa bangko!

#jeepneyphaseout #SupportTransportStrike",,,,,,
reyreygoaway,@reyreygoaway,2023-03-06T05:18:35.000Z,"#jeepneyphaseout

""Wag sana i phase out yung mga jeep, isa yan sa mga dinadayo ng mga foreigners sa Pilipinas""

Yung foreigner na first time sumakay ng jeep:",,,1,,,
reyreygoaway,@reyreygoaway,2023-03-06T05:17:56.000Z,"#jeepneyphaseout 

""Wag sana i phase out yung mga jeep, part na po ito ng ating culture""

Yung culture:",,3,,,,
@pauloinmanila and 99 others,@pauloinmanila and 99 others,2023-03-06T05:16:02.000Z,"Pag uusapan palang pala nila ang pag #JeepneyPhaseOut 
#NoToJeepneyPhaseout
 chonayu1",1,2,6,,,
Yohan,@DollieYoyie,2023-03-06T05:11:50.000Z,"Replying to 
@Joseph_Morong
 and 
@gmanews",,,,,,
Juls_ELFCARAT,@julie24_hyukjae,2023-03-06T05:00:58.000Z,"Nakakadurog ng puso! Remember they are not against the modernization, ang pinoproblema nila is yung ipapalit na unit. Jusko 2.4 million ang halaga saan mo papakuhanin ang mga driver nun.  Jusko nasaan ang puso? 

#TigilPasada 
#jeepneyphaseout",,,3,,,
Ruben Carranza,@RCarranza_,2023-03-06T04:11:29.000Z,"A REMINDER for the #jeepneyphaseout strike by drivers of the mode of public transportation working class Filipinos use the most: his 2014 statement of assets shows that 
@bongbongmarcos
 owns at least 10 cars and luxury SUVs.",9,48,144,,,
BULGAR,@bulgarofficial,2023-03-06T04:05:09.000Z,"Karamihan sa mga transport group ay nagpahayag ng kanilang pagtutol sa planong isang linggong transport group strike ng Manibela sa Metro Manila simula ngayong araw.

#TigilPasada #jeepneyphaseout #PUV #Bulgaronline #bulgarnews",,,,,,
Pamy,@PamVeeeeeee,2023-03-06T03:49:25.000Z,"Kung si 
@lenirobredo
 naging President, papakinggan n’ya kayo at di kayo tatawaging communist.

#jeepneyphaseout 
#TransportStrike",,,3,,,
tasha,@pppowfu,2023-03-06T03:45:20.000Z,Lets talk abt #NoToJeepPhaseOut #StopWillow #StopDrinkingAlcohol #loveislandaftersun #jeepneyphaseout #JeepneyPhaseoutIbasura,,,,,,
,@MyKey_10_07,2023-03-06T03:44:42.000Z,"Eh ano naman kasi aasahan mo sa ang ultimate goal was to only win the last election by hook or by 31M crooks and the rest bahala na si Antman?
#jeepneyphaseout",,,11,,,
Shadilou,@Snapshadilou,2023-03-06T03:41:50.000Z,"With this whole Jeepney phasout thing. Why can't the govt first shoulder the cost, tapos a percentage of the operaters owners goes to payback the govt then when they're fully paid bahala na? why do the people suffer cause the govt doesnt think? #jeepneyphaseout",,,,,,
zzzzz,@OrencilloA,2023-03-06T03:39:58.000Z,"Sana naisip po nasa taas ung welfare na ma aapektuhan na tao!  Nakakalungkot lang nangyari

#jeepneyphaseout",,,,,,
Amara,@SarahCrewe,2023-03-06T03:31:59.000Z,"Teacher ako Sara. Ramdam ko ang hirap ng mga guro at mga bata. PERO MAS RAMDAM KO ANG HIRAP NG MGA JEEPNEY DRIVER! Ikaw ang hindi makakuha sa point nila! Ikaw ang hindi makaintindi!

#jeepneyphaseout #TransportStrike #NoToPUVPhaseout #NoToJeepPhaseOut #NoToJeepneyPhaseOut",,,2,,,
Jomarie Sauquillo,@ItsMeGrayKnight,2023-03-06T03:08:28.000Z,"ano pa ba ang aasahan natin sa mga inutil na Pulis? mga kasangkapan ng korapsyon at kasamaan ang mga yan. 

#NoToJeepneyPhaseout
#jeepneyphaseout",,5,3,,,
